symbol,name,price,chg,pct_chg,volume_str,avg_volume_str,market_cap_str,pe_ratio,avg_volume,market_cap
WMT,Walmart Inc.,132.68,0.5,+0.37%,5.321M,9.145M,375.376B,27.93,9145000,375376000000
DIS,The Walt Disney Company,198.41,3.35,+1.72%,6.416M,13.322M,360.166B,,13322000,360166000000
JPM-PD,JPMorgan Chase & Co.,27.06,0.17,+0.63%,"40,737","122,715",359.507B,3.05,122715,359507000000
JPM-PC,JPMorgan Chase & Co.,27.37,0.07,+0.26%,"78,324","163,517",359.034B,3.08,163517,359034000000
LVMUY,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",135.56,3.06,+2.31%,"58,503","164,435",339.084B,48.81,164435,339084000000
UNH,UnitedHealth Group Incorporated,355.40,5.8,+1.66%,"826,647",3.353M,335.966B,22.17,3353000,335966000000
BAC,Bank of America Corporation,37.60,0.24,+0.63%,23.944M,52.728M,324.428B,20.11,52728000,324428000000
NVDA,NVIDIA Corporation,518.61,19.88,+3.99%,3.782M,8.092M,321.538B,75.16,8092000,321538000000
PG,The Procter & Gamble Company,127.25,-0.09,-0.07%,3.096M,7.775M,313.351B,24.05,7775000,313351000000
NSRGF,Nestlé S.A.,109.06,2.56,+2.41%,"3,240","43,473",312.422B,40.79,43473,312422000000
NSRGY,Nestlé S.A.,108.67,0.73,+0.68%,"139,707","582,093",307.146B,40.64,582093,307146000000
BML-PL,Bank of America Corporation,24.76,0.07,+0.28%,"16,081","47,981",305.073B,13.24,47981,305073000000
BAC-PE,Bank of America Corporation,25.24,0.12,+0.48%,"11,672","26,543",299.798B,13.50,26543,299798000000
PYPL,"PayPal Holdings, Inc.",253.30,11.23,+4.64%,4.492M,9.692M,296.66B,71.55,9692000,296660000000
BML-PH,Bank of America Corporation,21.44,0.17,+0.80%,"11,942","31,839",290.692B,11.47,31839,290692000000
HD,"The Home Depot, Inc.",268.64,2.4,+0.90%,1.565M,4.298M,289.223B,22.50,4298000,289223000000
RHHBY,Roche Holding AG,41.68,-0.27,-0.64%,"602,709",2.122M,287.697B,,2122000,287697000000
IDCBY,Industrial and Commercial Bank of China Limited,14.33,0.07,+0.49%,"7,523","81,448",286.96B,5.73,81448,286960000000
IDCBF,Industrial and Commercial Bank of China Limited,0.7132,0.0,0.00%,"7,000","55,900",285.558B,5.71,55900,285558000000
EDU,New Oriental Education & Technology Group Inc.,166.83,7.08,+4.43%,1.993M,1.096M,283.888B,706.91,1096000,283888000000
BAC-PB,Bank of America Corporation,27.19,0.09,+0.33%,"36,172","99,756",271.769B,14.54,99756,271769000000
BAC-PK,Bank of America Corporation,27.05,0.1,+0.36%,"23,721","79,874",271.383B,14.47,79874,271382999999
CMCSA,Comcast Corporation,57.65,0.44,+0.78%,6.645M,18.085M,264.098B,25.29,18085000,264098000000
XOM,Exxon Mobil Corporation,61.88,0.11,+0.18%,13.868M,30.048M,261.968B,,30048000,261968000000
MPNGF,Meituan,44.75,3.5,+8.48%,"114,161","189,355",260.875B,,189355,260875000000
INTC,Intel Corporation,64.00,1.75,+2.81%,12.931M,38.093M,260.039B,12.96,38093000,260039000000
INTC,Intel Corporation,64.00,1.75,+2.81%,12.941M,38.093M,260.032B,12.96,38093000,260031999999
PNGAY,"Ping An Insurance (Group) Company of China, Ltd.",25.84,0.25,+0.98%,"207,822","208,875",235.524B,14.85,208875,235524000000
VZ,Verizon Communications Inc.,56.21,-0.87,-1.52%,13.918M,19.676M,232.605B,13.07,19676000,232605000000
ASML,ASML Holding N.V.,546.89,23.56,+4.50%,"525,326","823,215",230.183B,78.59,823215,230183000000
NFLX,"Netflix, Inc.",513.72,9.18,+1.82%,1.384M,4.699M,227.522B,84.49,4699000,227522000000
NKE,"NIKE, Inc.",140.95,3.36,+2.44%,2.253M,5.783M,222.206B,79.45,5783000,222206000000
KO,The Coca-Cola Company,51.24,-0.2,-0.40%,6.134M,18.23M,220.787B,28.62,18230000,220787000000
ADBE,Adobe Inc.,452.75,15.74,+3.60%,1.162M,2.674M,217.015B,41.81,2674000,217015000000
CVX,Chevron Corporation,111.83,0.46,+0.41%,5.323M,11.384M,215.427B,,11384000,215427000000
LRLCY,L'Oréal S.A.,77.04,0.92,+1.21%,"35,759","91,423",214.716B,48.80,91423,214716000000
WFC-PQ,Wells Fargo & Company,26.69,0.19,+0.74%,"62,239","126,974",214.558B,65.11,126974,214558000000
WFC-PO,Wells Fargo & Company,25.31,0.04,+0.17%,"12,700","39,017",213.814B,61.74,39017,213814000000
T,AT&T Inc.,29.92,-0.07,-0.22%,15.988M,44.706M,213.418B,,44706000,213418000000
WFC-PY,Wells Fargo & Company,26.11,0.13,+0.50%,"14,199","41,964",213.198B,63.68,41964,213198000000
CICHY,China Construction Bank Corporation,16.83,0.25,+1.52%,"10,896","123,343",212.992B,,123343,212992000000
WFC-PX,Wells Fargo & Company,25.53,0.05,+0.20%,"29,739","65,735",212.655B,62.27,65735,212655000000
WFC-PN,Wells Fargo & Company,25.18,0.04,+0.16%,"8,154","40,379",212.257B,61.41,40379,212257000000
WFC-PP,Wells Fargo & Company,25.00,-0.01,-0.02%,"17,109","59,563",210.694B,60.99,59563,210694000000
WFC-PR,Wells Fargo & Company,28.54,0.2,+0.71%,"21,043","51,968",210.371B,69.61,51968,210371000000
ABT,Abbott Laboratories,117.47,1.6,+1.38%,1.521M,5.029M,208.11B,46.93,5029000,208110000000
TM,Toyota Motor Corporation,150.85,-1.03,-0.68%,"237,631","370,048",207.865B,9.22,370048,207865000000
CSCO,"Cisco Systems, Inc.",48.85,0.56,+1.17%,6.888M,20.257M,206.256B,20.44,20257000,206256000000
CICHF,China Construction Bank Corporation,0.8050,-0.025,-3.01%,290,"78,020",203.478B,5.19,78020,203478000000
WFC-PW,Wells Fargo & Company,25.01,-0.0,-0.00%,"14,857","140,778",203.419B,61.00,140778,203419000000
CRM,"salesforce.com, inc.",217.77,5.81,+2.74%,3.066M,8.032M,199.855B,49.72,8032000,199855000000
PDD,Pinduoduo Inc.,162.83,14.69,+9.92%,5.422M,7.975M,199.683B,,7975000,199683000000
CIHKY,"China Merchants Bank Co., Ltd.",39.39,1.46,+3.85%,"5,835","37,446",198.246B,16.66,37446,198246000000
ORCL,Oracle Corporation,67.27,-4.85,-6.72%,23.625M,12.088M,198.045B,20.35,12088000,198045000000
LLY,Eli Lilly and Company,205.38,-0.07,-0.03%,1.484M,4.208M,196.842B,30.25,4208000,196842000000
PROSY,Prosus N.V.,24.30,0.94,+4.02%,"79,643","359,105",196.77B,48.70,359105,196770000000
PFE,Pfizer Inc.,34.96,0.03,+0.07%,9.249M,37.305M,194.966B,20.48,37305000,194966000000
NVS,Novartis AG,85.09,0.9,+1.07%,"812,336",2.07M,192.433B,24.17,2069999,192433000000
ABBV,AbbVie Inc.,108.37,0.37,+0.34%,1.801M,7.207M,191.368B,39.84,7207000,191368000000
NVSEF,Novartis AG,84.00,0.0,0.00%,58,"42,080",190.397B,23.86,42080,190397000000
MRK,"Merck & Co., Inc.",75.09,0.33,+0.44%,5.102M,10.735M,190.002B,27.01,10735000,190002000000
BHP,BHP Group,73.91,0.94,+1.29%,1.09M,2.69M,188.083B,26.88,2690000,188083000000
AVGO,Broadcom Inc.,456.05,18.46,+4.22%,1.084M,1.896M,186.171B,52.74,1896000,186171000000
BHPLF,BHP Group,37.14,0.0,0.00%,127,"303,121",185.691B,27.01,303121,185691000000
PEP,"PepsiCo, Inc.",134.15,0.57,+0.43%,1.744M,5.018M,185.074B,26.20,5018000,185074000000
TMO,Thermo Fisher Scientific Inc.,458.20,17.11,+3.88%,1.072M,1.748M,180.434B,28.71,1748000,180434000000
ACGBF,Agricultural Bank of China Limited,0.4125,0.0,0.00%,517,"111,988",177.465B,4.53,111988,177465000000
ACN,Accenture plc,266.84,9.7,+3.77%,"992,018",2.041M,176.417B,32.85,2041000,176417000000
SFTBY,SoftBank Group Corp.,47.90,1.58,+3.41%,"355,472","361,483",169.93B,6.70,361483,169930000000
NVO,Novo Nordisk A/S,71.81,0.08,+0.11%,"313,296",1.106M,166.074B,29.17,1106000,166074000000
NONOF,Novo Nordisk A/S,71.32,-0.12,-0.17%,"1,386","35,951",165.61B,28.97,35951,165610000000
RDS-A,Royal Dutch Shell plc,44.08,-0.3,-0.68%,1.988M,5.175M,164.955B,,5175000,164955000000
RYDAF,Royal Dutch Shell plc,21.75,-0.15,-0.68%,"1,222","210,973",164.941B,,210973,164941000000
RDS-B,Royal Dutch Shell plc,41.86,-0.29,-0.69%,"902,527",3.147M,164.936B,,3147000,164936000000
WFC,Wells Fargo & Company,39.22,-0.37,-0.92%,14.814M,36.123M,162.119B,95.65,36123000,162119000000
TBB,AT&T Inc. 5.35% GLB NTS 66,26.36,0.11,+0.44%,"25,166","70,205",161.875B,5.15,70205,161875000000
TXN,Texas Instruments Incorporated,175.13,5.71,+3.37%,1.537M,4.618M,161.646B,29.34,4618000,161646000000
C-PJ,Citigroup Inc.,28.34,0.08,+0.28%,"12,972","67,660",160.868B,6.00,67660,160868000000
TMUS,"T-Mobile US, Inc.",128.94,1.53,+1.20%,1.346M,4.476M,160.247B,48.71,4476000,160247000000
MDT,Medtronic plc,118.78,0.11,+0.10%,1.556M,4.446M,160.117B,52.58,4446000,160117000000
MCD,McDonald's Corporation,214.23,0.92,+0.43%,1.463M,3.193M,159.72B,33.95,3193000,159720000000
SBRCY,Sberbank of Russia,15.73,0.3,+1.97%,"47,121","205,155",159.641B,3.21,205155,159641000000
AAIGF,AIA Group Limited,13.22,0.18,+1.34%,"15,383","47,623",158.488B,29.12,47623,158488000000
AAGIY,AIA Group Limited,52.40,0.4,+0.76%,"57,141","272,953",157.58B,28.85,272953,157580000000
MS,Morgan Stanley,83.63,0.54,+0.65%,4.261M,11.328M,157.26B,12.95,11328000,157260000000
UL,Unilever PLC,54.66,-0.17,-0.31%,1.227M,2.316M,157.244B,21.63,2316000,157244000000
DHR,Danaher Corporation,218.16,5.23,+2.46%,"764,533",2.51M,155.374B,44.66,2510000,155374000000
C,Citigroup Inc.,74.01,0.26,+0.35%,9.636M,20.631M,154.483B,15.68,20631000,154483000000
BBL,BHP Group,61.04,1.27,+2.12%,1.144M,1.603M,153.05B,22.20,1603000,153050000000
SAPGF,SAP SE,127.01,1.82,+1.46%,"67,266","27,410",150.67B,30.69,27410,150670000000
QCOM,QUALCOMM Incorporated,132.52,4.65,+3.64%,5.56M,10.239M,150.543B,22.65,10239000,150543000000
SAP,SAP SE,127.09,1.16,+0.92%,"548,625","967,526",149.873B,30.71,967526,149873000000
HON,Honeywell International Inc.,213.86,0.95,+0.45%,1.11M,2.688M,148.74B,31.82,2688000,148740000000
BA,The Boeing Company,253.47,8.13,+3.31%,18.543M,14.585M,147.935B,,14585000,147935000000
NEE,"NextEra Energy, Inc.",75.27,0.81,+1.09%,2.576M,8.532M,147.519B,50.86,8532000,147519000000
COST,Costco Wholesale Corporation,329.62,5.8,+1.79%,2.101M,2.852M,145.91B,33.71,2852000,145910000000
UPS,"United Parcel Service, Inc.",168.06,2.83,+1.71%,1.328M,3.582M,145.715B,109.13,3582000,145715000000
UNP,Union Pacific Corporation,216.05,2.93,+1.37%,1.058M,2.768M,144.717B,27.42,2768000,144717000000
LIN,Linde plc,268.48,2.84,+1.07%,"605,998",1.828M,140.371B,57.03,1828000,140371000000
JDCMF,"JD.com, Inc.",45.34,0.32,+0.71%,102,"50,995",140.071B,,50995,140071000000
SHOP,Shopify Inc.,"1,138.77",50.87,+4.68%,"874,670",1.481M,139.972B,439.68,1481000,139972000000
JD,"JD.com, Inc.",90.23,0.9,+1.01%,16.708M,10.759M,138.175B,613.81,10759000,138175000000
VWAGY,Volkswagen AG,27.76,-0.83,-2.90%,"966,931","406,820",138.072B,,406820,138072000000
BACHF,Bank of China Limited,0.3524,0.0,0.00%,"25,230","166,520",137.041B,3.92,166520,137041000000
BMY,Bristol-Myers Squibb Company,60.82,-0.11,-0.18%,3.995M,12.239M,136.266B,,12239000,136265999999
BACHY,Bank of China Limited,9.24,-0.06,-0.65%,"25,795","61,601",136.157B,4.11,61601,136157000000
PM,Philip Morris International Inc.,87.16,0.4,+0.46%,1.166M,5.002M,135.747B,16.89,5002000,135747000000
AMGN,Amgen Inc.,232.21,2.25,+0.98%,"745,947",2.563M,134.117B,18.86,2563000,134116999999
RY,Royal Bank of Canada,93.18,1.31,+1.43%,"460,281",1.183M,132.467B,14.82,1183000,132467000000
NABZY,National Australia Bank Limited,10.15,-0.13,-1.29%,"3,465","55,640",131.82B,14.15,55640,131820000000
SIEGY,Siemens Aktiengesellschaft,81.76,1.0,+1.24%,"58,869","134,500",130.323B,20.03,134500,130323000000
RIO,Rio Tinto Group,82.20,1.99,+2.48%,1.718M,2.148M,130.151B,13.70,2148000,130151000000
TOT,TOTAL SE,49.84,0.23,+0.46%,"745,966",2.523M,129.795B,,2523000,129794999999
AZN,AstraZeneca PLC,49.05,-0.76,-1.52%,7.434M,13.059M,129.112B,40.27,13059000,129112000000
VWAPY,Volkswagen AG,22.90,-0.59,-2.51%,"61,854","122,961",128.476B,7.51,122961,128476000000
SNE,Sony Corporation,103.38,2.39,+2.37%,"368,207",1.048M,128.215B,21.73,1048000,128215000000
SBUX,Starbucks Corporation,108.50,0.72,+0.67%,1.783M,5.985M,127.737B,191.02,5985000,127737000000
WFC-PC,Wells Fargo & Company,24.47,0.24,+0.99%,"105,876",1.22M,126.263B,,1220000,126263000000
LOW,"Lowe's Companies, Inc.",171.85,3.39,+2.01%,1.8M,4.186M,125.622B,22.17,4186000,125622000000
SCHW,The Charles Schwab Corporation,65.95,0.92,+1.41%,3.554M,8.546M,124.14B,31.11,8546000,124140000000
BUD,Anheuser-Busch InBev SA/NV,62.40,-0.97,-1.52%,"814,514",1.731M,122.791B,89.26,1731000,122791000000
CHTR,"Charter Communications, Inc.",626.77,-2.3,-0.37%,"624,696",1.211M,121.425B,40.70,1211000,121425000000
SE,Sea Limited,236.33,19.12,+8.80%,3.743M,4.167M,120.985B,,4167000,120985000000
CAT,Caterpillar Inc.,221.54,0.48,+0.22%,1.13M,3.055M,120.807B,40.58,3055000,120807000000
HSBC,HSBC Holdings plc,29.72,-0.61,-2.01%,1.195M,2.208M,120.664B,31.28,2208000,120664000000
SNY,Sanofi,48.01,0.06,+0.13%,"660,751",2.842M,120.349B,24.75,2842000,120349000000
PTR,PetroChina Company Limited,39.07,0.56,+1.45%,"81,997","175,923",118.983B,8.88,175923,118983000000
GS,"The Goldman Sachs Group, Inc.",343.87,1.85,+0.54%,1.346M,3.251M,118.908B,13.90,3251000,118908000000
AXP,American Express Company,147.14,0.39,+0.27%,1.147M,3.869M,118.534B,39.03,3869000,118534000000
HDB,HDFC Bank Limited,83.43,0.44,+0.54%,"421,347",1.431M,118.437B,161.23,1431000,118437000000
TD,The Toronto-Dominion Bank,64.98,0.67,+1.04%,"709,800",1.683M,117.883B,14.38,1683000,117883000000
RTX,Raytheon Technologies Corporation,77.52,0.96,+1.25%,2.181M,7.316M,117.79B,,7316000,117790000000
LFC,China Life Insurance Company Limited,10.72,0.01,+0.09%,"440,814","478,636",117.043B,16.12,478636,117043000000
ABNB,"Airbnb, Inc.",195.89,12.1,+6.58%,2.812M,7.888M,117.034B,,7888000,117034000000
DCMYY,"NTT DOCOMO, INC.",36.12,0.0,0.00%,"1,556","26,085",116.618B,18.59,26085,116618000000
IBM,International Business Machines Corporation,128.05,0.18,+0.14%,2.244M,6.571M,114.425B,20.54,6571000,114425000000
DE,Deere & Company,364.92,3.7,+1.02%,"780,466",1.736M,114.38B,33.39,1736000,114380000000
IDEXY,"Industria de Diseño Textil, S.A.",17.90,0.47,+2.70%,"110,595","490,181",111.93B,27.62,490181,111930000000
BLK,"BlackRock, Inc.",727.99,-0.51,-0.07%,"201,747","712,608",111.117B,22.86,712608,111117000000
UBER,"Uber Technologies, Inc.",58.88,1.2,+2.09%,7.826M,21.809M,109.428B,,21809000,109428000000
INTU,Intuit Inc.,399.49,16.67,+4.36%,"417,709",1.38M,109.398B,60.96,1380000,109398000000
SQ,"Square, Inc.",237.99,11.26,+4.97%,6.334M,10.712M,108.194B,540.89,10712000,108194000000
AMAT,"Applied Materials, Inc.",117.56,4.88,+4.33%,3.076M,7.969M,107.88B,28.12,7969000,107880000000
GE,General Electric Company,12.22,-1.03,-7.81%,164.892M,81.879M,107.1B,21.21,81879000,107100000000
MMM,3M Company,184.03,-0.48,-0.26%,"892,494",2.693M,106.572B,19.90,2693000,106572000000
EL,The Estée Lauder Companies Inc.,291.50,6.25,+2.19%,"632,510",1.419M,105.744B,115.35,1419000,105744000000
DFIFF,Diamond Fields Resources Inc.,0.2000,0.002,+1.01%,"6,090","103,123",105.662B,,103123,105662000000
ALIZY,Allianz SE,25.57,0.09,+0.35%,"15,944","115,015",105.071B,,115015,105071000000
NPSNY,Naspers Limited,48.92,2.2,+4.71%,"95,009","174,715",104.744B,36.17,174715,104744000000
ESOCF,Enel SpA,10.05,0.33,+3.42%,"13,516","32,051",102.739B,21.07,32051,102739000000
ZM,"Zoom Video Communications, Inc.",349.73,13.7,+4.08%,2.011M,6.051M,102.082B,155.44,6051000,102082000000
GS-PN,"The Goldman Sachs Group, Inc.",25.38,0.01,+0.06%,"8,388","51,896",101.203B,1.03,51896,101203000000
MU,"Micron Technology, Inc.",90.00,4.59,+5.37%,11.613M,18.265M,100.68B,33.95,18265000,100680000000
ENLAY,Enel SpA,9.88,0.12,+1.23%,"58,144","511,493",100.562B,20.71,511493,100562000000
NOW,"ServiceNow, Inc.",510.00,36.0,+7.59%,1.069M,1.46M,100.011B,864.41,1460000,100011000000
BKNG,Booking Holdings Inc.,"2,408.24",38.92,+1.64%,"219,525","379,001",98.646B,"1,672.39",379001,98646000000
AMD,"Advanced Micro Devices, Inc.",81.19,3.68,+4.74%,23.175M,43.31M,98.353B,39.34,43310000,98353000000
DEO,Diageo plc,167.10,-0.26,-0.16%,"239,460","442,915",97.1B,26.09,442915,97100000000
LMT,Lockheed Martin Corporation,343.24,2.4,+0.70%,"714,296",1.896M,96.143B,14.12,1896000,96143000000
USB-PH,U.S. Bancorp,23.30,0.09,+0.39%,"29,325","167,032",95.92B,7.61,167032,95920000000
CVS,CVS Health Corporation,72.63,-0.07,-0.10%,2.445M,6.977M,95.243B,13.29,6977000,95243000000
AMT,American Tower Corporation (REIT),213.86,9.44,+4.62%,1.745M,2.304M,95.036B,56.43,2304000,95036000000
NTTYY,Nippon Telegraph and Telephone Corporation,26.00,-0.21,-0.80%,"19,704","171,615",93.669B,6.23,171615,93669000000
VALE,Vale S.A.,18.03,0.82,+4.73%,14.285M,29.093M,92.518B,18.94,29093000,92518000000
EADSY,Airbus SE,29.64,-0.05,-0.17%,"134,579","345,048",92.144B,27.06,345048,92144000000
DTEGY,Deutsche Telekom AG,19.40,0.12,+0.65%,"36,384","191,788",92.017B,20.08,191788,92017000000
BPAQF,BP p.l.c.,4.4650,0.145,+3.36%,200,"126,768",91.996B,,126768,91996000000
FIS,"Fidelity National Information Services, Inc.",147.83,2.7,+1.86%,1.434M,4.602M,91.822B,591.32,4602000,91822000000
DDAIF,Daimler AG,85.01,-1.64,-1.89%,"9,614","29,933",90.707B,8.61,29933,90707000000
SYK,Stryker Corporation,240.63,0.55,+0.23%,"328,547",1.174M,90.527B,57.29,1174000,90527000000
DMLRY,Daimler AG,21.17,-0.46,-2.13%,"32,950","91,418",90.491B,8.58,91418,90491000000
MO,"Altria Group, Inc.",48.32,0.12,+0.25%,3.225M,9.045M,89.812B,20.13,9045000,89812000000
TGT,Target Corporation,179.13,0.55,+0.31%,1.198M,4.014M,89.725B,20.73,4014000,89725000000
BIDU,"Baidu, Inc.",266.34,11.2,+4.39%,5.263M,11.459M,89.65B,20.75,11459000,89650000000
SNAP,Snap Inc.,59.21,4.14,+7.52%,11.125M,22.409M,89.306B,,22409000,89306000000
CSLLY,CSL Limited,99.44,0.84,+0.85%,"19,023","55,648",89.302B,34.02,55648,89302000000
BP,BP p.l.c.,26.73,0.08,+0.30%,5.736M,16.952M,89.276B,,16952000,89276000000
GSK,GlaxoSmithKline plc,35.62,0.03,+0.07%,2.706M,5.747M,88.817B,35.91,5747000,88817000000
GLAXF,GlaxoSmithKline plc,17.34,-0.18,-1.06%,"1,477","379,185",88.472B,34.96,379185,88472000000
GS-PA,"The Goldman Sachs Group, Inc.",23.80,0.04,+0.17%,"33,026","52,440",87.714B,0.96,52440,87714000000
PPRUY,Kering SA,70.35,1.25,+1.81%,"360,999","71,226",87.274B,22.92,71226,87274000000
ISRG,"Intuitive Surgical, Inc.",735.95,16.14,+2.24%,"159,867","600,778",86.635B,83.44,600778,86635000000
USB-PP,U.S. Bancorp,27.45,0.11,+0.40%,"10,775","44,108",86.119B,8.97,44108,86119000000
MS-PA,Morgan Stanley,24.36,0.23,+0.97%,"72,515","105,986",85.787B,3.77,105986,85787000000
GS-PD,"The Goldman Sachs Group, Inc.",24.01,0.13,+0.54%,"59,817","109,410",85.203B,0.97,109410,85203000000
SBGSY,Schneider Electric S.E.,30.72,0.58,+1.92%,"85,147","131,451",85.032B,33.64,131451,85032000000
FISV,"Fiserv, Inc.",125.98,2.12,+1.71%,1.851M,4.624M,84.339B,89.99,4624000,84339000000
CI,Cigna Corporation,239.31,1.09,+0.46%,"431,042",1.93M,83.895B,10.42,1930000,83895000000
BTI,British American Tobacco p.l.c.,37.24,0.09,+0.26%,1.567M,2.214M,83.688B,1.68,2214000,83688000000
SPGI,S&P Global Inc.,345.39,1.04,+0.30%,"662,468",1.851M,83.135B,35.75,1851000,83135000000
ANTM,"Anthem, Inc.",335.86,2.33,+0.70%,"323,262",1.287M,82.254B,18.68,1287000,82254000000
CNI,Canadian National Railway Company,115.69,1.27,+1.11%,"259,374","848,306",82.066B,19.70,848306,82066000000
COP,ConocoPhillips,60.31,0.89,+1.50%,4.739M,11.118M,81.704B,,11118000,81704000000
INFY,Infosys Limited,19.05,0.37,+1.98%,3.094M,8.417M,81.357B,32.29,8417000,81357000000
GM,General Motors Company,56.22,-0.61,-1.07%,10.76M,23.503M,81.008B,12.98,23503000,81008000000
MDLZ,"Mondelez International, Inc.",56.36,0.17,+0.30%,1.74M,7.452M,80.761B,22.82,7452000,80761000000
USB,U.S. Bancorp,53.69,-0.09,-0.17%,3.063M,7.347M,80.673B,17.55,7347000,80673000000
BYDDY,BYD Company Limited,51.58,3.82,+8.00%,"274,251","336,523",80.394B,185.54,336523,80394000000
BYDDF,BYD Company Limited,25.85,1.9,+7.92%,"226,265","451,030",80.336B,,451030,80336000000
SNP,China Petroleum & Chemical Corporation,56.48,0.81,+1.46%,"49,896","179,660",80.154B,6.21,179660,80154000000
GILD,"Gilead Sciences, Inc.",63.67,-0.24,-0.38%,3.297M,9.262M,80.007B,649.69,9262000,80007000000
IBDRY,"Iberdrola, S.A.",52.12,0.86,+1.68%,"11,339","70,200",79.711B,25.55,70200,79711000000
USB-PM,U.S. Bancorp,26.29,0.01,+0.05%,"57,785","178,628",79.351B,8.59,178628,79351000000
TJX,"The TJX Companies, Inc.",66.04,0.44,+0.67%,1.87M,7.024M,79.292B,943.46,7024000,79292000000
NETTF,"NetEase, Inc.",23.00,1.46,+6.79%,"1,071","26,076",79.264B,,26076,79264000000
TFC,Truist Financial Corporation,58.74,-0.06,-0.09%,4.976M,5.788M,79.141B,,5788000,79141000000
ADP,"Automatic Data Processing, Inc.",183.65,2.51,+1.39%,"511,323",1.854M,78.591B,31.83,1854000,78591000000
BASFY,BASF SE,21.55,-0.18,-0.83%,"123,123","181,790",78.567B,11.53,181790,78567000000
MS-PK,Morgan Stanley,28.83,0.1,+0.35%,"11,008","66,507",78.368B,4.46,66507,78368000000
MELI,"MercadoLibre, Inc.","1,562.91",127.34,+8.87%,"451,276","585,728",77.942B,,585728,77942000000
BNPQY,BNP Paribas SA,31.45,-0.26,-0.82%,"188,711","272,921",77.678B,9.25,272921,77678000000
CB,Chubb Limited,172.12,-1.36,-0.78%,"672,476",1.629M,77.493B,22.09,1629000,77493000000
LRCX,Lam Research Corporation,539.68,20.98,+4.04%,"609,934",1.591M,77.125B,26.80,1591000,77125000000
NTES,"NetEase, Inc.",109.41,3.77,+3.57%,"948,316",2.643M,76.873B,16.41,2643000,76873000000
BNS,The Bank of Nova Scotia,63.27,0.48,+0.76%,"393,196",1.283M,76.383B,12.35,1283000,76383000000
MS-PI,Morgan Stanley,28.62,0.07,+0.25%,"17,924","58,717",76.325B,4.43,58717,76325000000
RCRUY,"Recruit Holdings Co., Ltd.",9.30,0.19,+2.14%,"33,912","187,551",75.615B,52.81,187551,75615000000
HKXCY,Hong Kong Exchanges and Clearing Limited,59.59,2.25,+3.92%,"10,650","46,411",75.502B,62.01,46411,75502000000
AIQUY,L'Air Liquide S.A.,31.99,0.0,0.00%,"74,264","156,073",75.42B,25.46,156073,75420000000
PNC,"The PNC Financial Services Group, Inc.",177.17,-0.61,-0.34%,"423,698",1.975M,75.124B,10.44,1975000,75124000000
PSBKF,"Postal Savings Bank of China Co., Ltd.",0.7871,0.0,0.00%,"400,000","70,533",74.323B,,70533,74323000000
MS-PF,Morgan Stanley,28.70,0.08,+0.29%,"9,842","48,853",74.224B,4.44,48853,74224000000
OGZPY,Public Joint Stock Company Gazprom,6.29,0.04,+0.64%,"185,415","645,788",74.094B,1.88,645788,74094000000
MS-PE,Morgan Stanley,29.19,0.1,+0.35%,"19,298","56,913",74.047B,4.52,56913,74047000000
ESLOY,EssilorLuxottica Société anonyme,84.85,2.64,+3.21%,"7,519","43,893",73.949B,43.11,43893,73949000000
