symbol,name,price,chg,pct_chg,volume_str,avg_volume_str,market_cap_str,pe_ratio,avg_volume,market_cap
AAPL,Apple Inc.,121.42,1.29,1.07%,153.767M,109.948M,2.038T,32.93,109948000,2.038E+12
MSFT,Microsoft Corporation,231.6,4.87,2.15%,41.872M,29.554M,1.747T,34.53,29554000,1.747E+12
AMZN,"Amazon.com, Inc.","3,000.46",22.89,0.77%,5.389M,3.751M,1.511T,71.73,3751000,1.511E+12
GOOG,Alphabet Inc.,"2,108.54",59.45,2.90%,2.195M,1.59M,1.417T,35.97,1590000,1.417E+12
GOOGL,Alphabet Inc.,"2,097.07",63.14,3.10%,2.655M,1.776M,1.417T,35.78,1776000,1.417E+12
TCEHY,Tencent Holdings Limited,87.25,0.35,0.40%,5.211M,3.048M,838.685B,64.39,3048000,8.38685E+11
FB,"Facebook, Inc.",264.28,6.64,2.58%,26.82M,19.508M,752.582B,26.19,19508000,7.52582E+11
BABA,Alibaba Group Holding Limited,233.89,3.39,1.47%,15.988M,23.018M,634.796B,25.12,23018000,6.34796E+11
BRK-B,Berkshire Hathaway Inc.,253.15,7.67,3.12%,6.402M,5.357M,582.744B,0.01,5357000,5.82744E+11
TSLA,"Tesla, Inc.",597.95,-23.49,-3.78%,89.396M,40.739M,573.945B,934.3,40739000,5.73945E+11
TSM,Taiwan Semiconductor Manufacturing Company Limited,120.8,5.21,4.51%,17.449M,11.982M,561.997B,54.17,11982000,5.61997E+11
RLLCF,Rolls-Royce Holdings plc,0.0238,-0.002,-7.75%,24.327M,36.699M,518.857B,,36699000,5.18857E+11
V,Visa Inc.,215.41,3.91,1.85%,7.582M,9.476M,474.947B,44.47,9476000,4.74947E+11
JPM,JPMorgan Chase & Co.,150.91,0.35,0.23%,18.465M,14.069M,460.503B,16.99,14069000,4.60503E+11
JNJ,Johnson & Johnson,156.1,3.03,1.98%,8.332M,8.313M,410.337B,28.33,8313000,4.10337E+11
WMT,Walmart Inc.,129.12,1.59,1.25%,11.358M,8.832M,365.318B,27.18,8832000,3.65318E+11
MA,Mastercard Incorporated,360.88,11.38,3.26%,4.643M,4.232M,358.484B,56.65,4232000,3.58484E+11
DIS,The Walt Disney Company,189.99,1.96,1.04%,10.266M,12.75M,344.881B,,12750000,3.44881E+11
UNH,UnitedHealth Group Incorporated,347.1,13.29,3.98%,4.563M,3.307M,328.12B,21.65,3307000,3.2812E+11
BAC,Bank of America Corporation,36.93,0.43,1.18%,74.292M,52.146M,318.824B,19.75,52146000,3.18824E+11
PG,The Procter & Gamble Company,125.98,3.83,3.14%,10.491M,7.657M,310.223B,23.81,7657000,3.10223E+11
NVDA,NVIDIA Corporation,498.46,3.65,0.74%,13.571M,7.856M,309.045B,72.24,7856000,3.09045E+11
PYPL,"PayPal Holdings, Inc.",239.05,-0.02,-0.01%,16.83M,9.441M,279.971B,67.53,9441000,2.79971E+11
RHHBY,Roche Holding AG,40.59,0.09,0.22%,2.186M,2.066M,275.307B,,2065999,2.75307E+11
HD,"The Home Depot, Inc.",253.52,2.59,1.03%,6.352M,4.276M,272.94B,21.23,4276000,2.7294E+11
XOM,Exxon Mobil Corporation,60.93,2.22,3.78%,51.43M,30.101M,257.946B,,30101000,2.57946E+11
CMCSA,Comcast Corporation,55.09,1.16,2.15%,22.053M,17.649M,252.349B,24.16,17649000,2.52349E+11
INTC,Intel Corporation,60.74,2.41,4.13%,39.512M,38.095M,246.787B,12.3,38095000,2.46787E+11
VZ,Verizon Communications Inc.,56,1.2,2.19%,23.598M,19.349M,231.736B,13.02,19349000,2.31736E+11
NFLX,"Netflix, Inc.",516.39,5.1,1.00%,5.07M,4.703M,228.707B,84.93,4703000,2.28707E+11
UL,Unilever PLC,54.02,0.54,1.01%,2.62M,2.307M,220.652B,21.38,2307000,2.20652E+11
KO,The Coca-Cola Company,50.79,0.85,1.70%,21.311M,17.674M,218.87B,28.37,17674000,2.1887E+11
T,AT&T Inc.,29.62,0.7,2.42%,58.714M,45.434M,211.243B,,45434000,2.11243E+11
ADBE,Adobe Inc.,440.83,1.77,0.40%,4.615M,2.657M,211.025B,40.7,2657000,2.11025E+11
NKE,"NIKE, Inc.",133.35,1.31,0.99%,5.957M,5.788M,210.225B,75.17,5788000,2.10225E+11
CVX,Chevron Corporation,109,4.5,4.31%,23.638M,10.99M,209.975B,,10990000,2.09975E+11
ABT,Abbott Laboratories,117.25,1.24,1.07%,4.86M,5.037M,207.712B,46.84,5037000,2.07712E+11
ORCL,Oracle Corporation,69.97,4.36,6.65%,34.211M,11.754M,205.994B,21.16,11754000,2.05994E+11
LLY,Eli Lilly and Company,206.92,6.38,3.18%,3.876M,4.318M,198.318B,30.47,4318000,1.98318E+11
CSCO,"Cisco Systems, Inc.",46.25,1.69,3.79%,33.198M,19.8M,195.258B,19.35,19800000,1.95258E+11
CRM,"salesforce.com, inc.",210.76,5.43,2.64%,11.406M,8.208M,193.422B,48.12,8208000,1.93422E+11
PDD,Pinduoduo Inc.,156.82,-1.58,-1.00%,11.132M,7.855M,192.313B,,7855000,1.92313E+11
PFE,Pfizer Inc.,34.39,0.19,0.56%,30.59M,39.771M,191.815B,20.15,39771000,1.91815E+11
ABBV,AbbVie Inc.,106.7,1.05,0.99%,7.278M,7.235M,188.419B,39.23,7235000,1.88419E+11
BHP,BHP Group,76.37,0.37,0.49%,4.32M,2.605M,188.166B,27.77,2605000,1.88166E+11
NVS,Novartis AG,84.01,0.51,0.61%,2.02M,2.033M,186.713B,23.87,2033000,1.86713E+11
MRK,"Merck & Co., Inc.",73.13,0.96,1.33%,11.681M,10.429M,185.042B,26.31,10429000,1.85042E+11
AVGO,Broadcom Inc.,450.14,6.55,1.48%,4.241M,1.834M,183.759B,52.06,1834000,1.83759E+11
PEP,"PepsiCo, Inc.",133.03,4.2,3.26%,10.187M,4.786M,183.53B,25.98,4786000,1.8353E+11
TMO,Thermo Fisher Scientific Inc.,446.87,5.41,1.23%,2.749M,1.718M,175.974B,28,1718000,1.75974E+11
ACN,Accenture plc,249.51,2.51,1.02%,3.236M,2.013M,164.96B,30.71,2013000,1.6496E+11
RDS-A,Royal Dutch Shell plc,43.85,1.42,3.35%,6.869M,5.161M,164.816B,,5161000,1.64816E+11
RDS-B,Royal Dutch Shell plc,41.75,1.34,3.32%,4.17M,3.142M,164.816B,,3142000,1.64816E+11
MDT,Medtronic plc,118.26,2.99,2.59%,4.636M,4.486M,159.352B,52.35,4486000,1.59352E+11
NVO,Novo Nordisk A/S,69.61,0.39,0.56%,1.323M,1.1M,158.652B,28.27,1100000,1.58652E+11
DHR,Danaher Corporation,218.35,3.94,1.84%,2.432M,2.459M,155.51B,44.7,2459000,1.5551E+11
TMUS,"T-Mobile US, Inc.",124.68,6.07,5.12%,7.944M,4.35M,154.952B,47.1,4350000,1.54952E+11
WFC,Wells Fargo & Company,37.43,0.27,0.73%,34.558M,35.902M,154.74B,91.29,35902000,1.5474E+11
MCD,McDonald's Corporation,207.37,2.53,1.24%,3.608M,3.167M,154.609B,32.86,3167000,1.54609E+11
TXN,Texas Instruments Incorporated,167.94,4.69,2.87%,5.681M,4.56M,154.545B,28.14,4560000,1.54545E+11
BBL,BHP Group,62.17,0.64,1.04%,2.962M,1.484M,154.173B,22.61,1484000,1.54173E+11
MS,Morgan Stanley,80.87,-0.24,-0.30%,16.363M,11.21M,152.07B,12.52,11210000,1.5207E+11
QCOM,QUALCOMM Incorporated,129.75,1.95,1.53%,13.292M,9.918M,147.396B,22.18,9918000,1.47396E+11
C,Citigroup Inc.,70.23,0.42,0.60%,25.407M,20.561M,146.592B,14.88,20561000,1.46592E+11
